AT T Stadium,80000,Arlington,Texas,2009,Football,"Dallas Cowboys, Cotton Bowl Classic"
Apogee Stadium,30850,Denton,Texas,2011,Football,North Texas Mean Green
Amon G. Carter Stadium,44008,Fort Worth,Texas,1930,Football,"TCU Horned Frogs, The Bell Helicopter Armed Forces Bowl"
Alamodome,65000,San Antonio,Texas,1993,Football,"UTSA Roadrunners, Alamo Bowl, U.S. Army All-American Bowl"
Rio Tinto Stadium,20008,Sandy,Utah,2008,Soccer,Real Salt Lake
Rice-Eccles Stadium,45634,Salt Lake City,Utah,1998,Football,Utah Utes
LaVell Edwards Stadium,63470,Provo,Utah,1964,Football,BYU Cougars
"William ""Dick"" Price Stadium",30000,Norfolk,Virginia,1997,Football,Norfolk State Spartans
Scott Stadium,61500,Charlottesville,Virginia,1931,Football,Virginia Cavaliers
Lane Stadium,66233,Blacksburg,Virginia,1965,Football,Virginia Tech Hokies
Foreman Field at S.B. Ballard Stadium,20118,Norfolk,Virginia,1936,Football,Old Dominion
Bridgeforth Stadium,24877,Harrisonburg,Virginia,1975,Football,James Madison Dukes
Safeco Field[25],47116,Seattle,Washington,1999,Baseball,Seattle Mariners
Martin Stadium,35117,Pullman,Washington,1972,Football,Washington State Cougars
Joe Albi Stadium,28646,Spokane,Washington,1950,Football,"Spokane Spiders, Spokane Black Widows, local high schools"
Husky Stadium,72500,Seattle,Washington,1920,Football,Washington Huskies
CenturyLink Field,67000,Seattle,Washington,2002,Football,"Seattle Seahawks, Seattle Sounders FC"
Mountaineer Field[16],60000,Morgantown,West Virginia,1980,Football,West Virginia Mountaineers
Joan C. Edwards Stadium,38019,Huntington,West Virginia,1991,Football,Marshall Thundering Herd
Miller Park[31],41900,Milwaukee,Wisconsin,2001,Baseball,Milwaukee Brewers
Lambeau Field,81435,Green Bay,Wisconsin,1957,Football,Green Bay Packers
Camp Randall Stadium,80321,Madison,Wisconsin,1917,Football,Wisconsin Badgers
Jonah Field at War Memorial Stadium,32580,Laramie,Wyoming,1950,Football,Wyoming Cowboys
Dodger Stadium,56000,Los Angeles,California,1962,Baseball,Los Angeles Dodgers
Angel Stadium of Anaheim,45050,Anaheim,California,1966,Baseball,Los Angeles Angels of Anaheim
